Validating val data with model models/w2v_2bihlstm300
pake old
pake old
SRL: Precision: 80.9020618556701, Recall: 78.29882763781491, F1: 79.57916085688932
Unlabeled SRL: Precision: 85.30927835051547, Recall: 82.56423048141681, F1: 83.91431106604134
V: Precision: 97.13876967095851, Recall: 97.90915645277578, F1: 97.52244165170558
ARG0: Precision: 86.54060066740823, Recall: 86.92737430167598, F1: 86.73355629877369
AM-EXT: Precision: 66.66666666666667, Recall: 44.44444444444444, F1: 53.333333333333336
ARG1: Precision: 81.10419906687403, Recall: 80.72755417956657, F1: 80.91543832428239
ARG2: Precision: 77.19298245614036, Recall: 55.172413793103445, F1: 64.35100548446069
AM-DIR: Precision: 28.571428571428573, Recall: 40.0, F1: 33.333333333333336
ARG3: Precision: 37.03703703703704, Recall: 31.25, F1: 33.898305084745765
AM-LVB: Precision: 78.78787878787878, Recall: 96.29629629629629, F1: 86.66666666666666
AM-TMP: Precision: 78.82037533512064, Recall: 70.16706443914082, F1: 74.24242424242425
AM-ADV: Precision: 76.92307692307692, Recall: 72.99270072992701, F1: 74.9063670411985
AM-LOC: Precision: 72.77777777777777, Recall: 74.85714285714286, F1: 73.80281690140845
AM-MOD: Precision: 92.90322580645162, Recall: 94.11764705882354, F1: 93.5064935064935
AM-PRP: Precision: 73.4375, Recall: 78.33333333333333, F1: 75.80645161290323
AM-DIS: Precision: 78.2051282051282, Recall: 85.31468531468532, F1: 81.60535117056857
AM-NEG: Precision: 90.56603773584905, Recall: 97.95918367346938, F1: 94.11764705882354
AM-COM: Precision: 100.0, Recall: 44.827586206896555, F1: 61.904761904761905
AM-CAU: Precision: 78.2051282051282, Recall: 87.14285714285714, F1: 82.43243243243244
ARG4: Precision: 56.666666666666664, Recall: 68.0, F1: 61.81818181818182
AM-PRD: Precision: 50.0, Recall: 33.333333333333336, F1: 40.0
AM-MNR: Precision: 62.857142857142854, Recall: 47.82608695652174, F1: 54.32098765432099
AM-ADJ: Precision: 0.0, Recall: 0.0, F1: 0
AM-REC: Precision: 86.66666666666667, Recall: 92.85714285714286, F1: 89.65517241379311
AM-GOL: Precision: 50.0, Recall: 50.0, F1: 50.0
